"População com 15 ou mais anos, por principal fonte de rendimento, NUTS II, 2021",,,,,,,
,,,,,,,
,,,,,,,Número
NUTS II,Total, fonte de rendimento,,,,,
,,Rendimento do trabalho ,Pensão / Reforma,Rendimento de propriedade /empresa,"Subsídios temporários (desemprego, RSI, ...)",A cargo da família,Outra
Portugal ,9 011 878,4 375 176,2 562 597, 63 503, 425 341,1 204 540, 380 721
Norte,3 146 421,1 525 926, 882 672, 19 608, 157 670, 425 302, 135 243
Centro,1 963 840, 923 816, 632 757, 11 058, 72 835, 243 631, 79 743
AM  Lisboa,2 458 995,1 246 102, 629 171, 21 379, 116 225, 346 341, 99 777
Alentejo, 617 394, 289 001, 204 330, 3 620, 26 661, 71 052, 22 730
Algarve, 404 562, 189 028, 113 335, 4 966, 25 821, 50 870, 20 542
RA Açores, 201 860, 102 634, 46 182, 1 259, 12 049, 31 408, 8 328
RA Madeira, 218 806, 98 669, 54 150, 1 613, 14 080, 35 936, 14 358
,,,,,,,
"Fonte: INE, Recenseamentos da População e Habitação",,,,,,,
