"Agregados, por tipo de agregado, NUTS II, 2011-2021",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,Número,,
NUTS II,2011,,,2021,,,Variação 2011-2021 (%),,,,
,Total ,Agregados domésticos Privados,Agregados Institucionais,Total ,Agregados domésticos Privados,Agregados Institucionais,Total ,Agregados domésticos Privados,Agregados Institucionais,,
Portugal ,4 048 559,4 043 726, 4 833,4 154 571,4 149 096, 5 475,2.6,2.6,13.3,,
Norte,1 332 127,1 330 892, 1 235,1 382 190,1 380 696, 1 494,3.8,3.7,21.0,,
Centro, 906 247, 904 770, 1 477, 910 990, 909 312, 1 678,0.5,0.5,13.6,,
AM  Lisboa,1 148 947,1 147 775, 1 172,1 194 199,1 192 984, 1 215,3.9,3.9,3.7,,
Alentejo, 303 518, 302 975,  543, 292 417, 291 767,  650,-3.7,-3.7,19.7,,
Algarve, 182 928, 182 776,  152, 194 363, 194 192,  171,6.3,6.2,12.5,,
RA Açores, 81 856, 81 715,  141, 85 462, 85 301,  161,4.4,4.4,14.2,,
RA Madeira, 92 936, 92 823,  113, 94 950, 94 844,  106,2.2,2.2,-6.2,,
Nota: Nos Censos 2011 o conceito utilizado era de Família clássica,,,,,,,,,,,
"Fonte: INE, Recenseamentos da População e Habitação",,,,,,,,,,,
