"Núcleos familiares monoparentais, por tipo de núcleo, NUTS II, 2021",,,,,,,,,
,,,,,,,,,
,,,,,,,Número,,
NUTS II,Total,Pai com filhos,,,Mãe com filhos,,,,
,,Total ,Com pelo menos um filho com menos de 25 anos,Com filhos tendo o mais novo 25 ou mais anos,Total ,Com pelo menos um filho com menos de 25 anos,Com filhos tendo o mais novo 25 ou mais anos,,
Portugal ,579 971,83 629,48 551,35 078,496 342,309 276,187 066,,
Norte,186 523,25 439,13 297,12 142,161 084,96 083,65 001,,
Centro,107 149,16 468,9 055,7 413,90 681,53 880,36 801,,
AM  Lisboa,190 955,27 378,17 801,9 577,163 577,109 882,53 695,,
Alentejo,35 900,5 832,3 379,2 453,30 068,18 122,11 946,,
Algarve,28 738,4 269,2 662,1 607,24 469,16 010,8 459,,
RA Açores,13 019,1 919,1 111, 808,11 100,6 570,4 530,,
RA Madeira,17 687,2 324,1 246,1 078,15 363,8 729,6 634,,
,,,,,,,,,
"Fonte: INE, Recenseamentos da População e Habitação",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
