"Alojamentos familiares clássicos, por forma de ocupação, NUTS II, 2021",,,,,,,
,,,,,,,
,,,,,,Número,
NUTS II,Total,Forma de Ocupação ,,,,,
,,Residência habitual,Residência secundária,Vagos,,,
,,,,Total,Venda ou Arrendamento,Outros Casos,
Portugal ,5 970 677,4 142 581,1 104 881, 723 215, 348 097, 375 118,
Norte,1 894 933,1 379 430, 321 054, 194 449, 90 585, 103 864,
Centro,1 470 422, 907 883, 350 226, 212 313, 99 895, 112 418,
AM  Lisboa,1 496 902,1 191 363, 145 763, 159 776, 70 048, 89 728,
Alentejo, 472 808, 290 644, 104 219, 77 945, 39 912, 38 033,
Algarve, 391 416, 193 395, 151 269, 46 752, 31 304, 15 448,
RA Açores, 113 159, 85 074, 14 084, 14 001, 7 214, 6 787,
RA Madeira, 131 037, 94 792, 18 266, 17 979, 9 139, 8 840,
,,,,,,,
"Fonte: INE, Recenseamentos da População e Habitação",,,,,,,
