"População residente com 15 ou mais anos, por nível de ensino completo, NUTS II, 2021",,,,,,,,,
,,,,,,,,,
,,,,,,,,Número,
NUTSII,Total,Nível de ensino ,,,,,,,
,,Nenhum,Ensino básico,,,,Ensino secundário ou  Pós secundário,Ensino superior,
,,,Total ,1º ciclo,2º ciclo,3º ciclo,,,
Portugal ,9 011 878, 528 088,4 477 240,2 008 075, 864 512,1 604 653,2 223 662,1 782 888,
Norte,3 146 421, 178 244,1 687 052, 789 693, 356 030, 541 329, 721 704, 559 421,
Centro,1 963 840, 131 433,1 030 305, 500 821, 184 795, 344 689, 459 442, 342 660,
AM  Lisboa,2 458 995, 104 934,1 013 885, 391 545, 175 724, 446 616, 685 561, 654 615,
Alentejo, 617 394, 52 742, 324 786, 149 409, 60 578, 114 799, 149 315, 90 551,
Algarve, 404 562, 31 892, 191 553, 76 312, 33 698, 81 543, 111 219, 69 898,
RA Açores, 201 860, 11 231, 116 576, 47 165, 29 215, 40 196, 44 406, 29 647,
RA Madeira, 218 806, 17 612, 113 083, 53 130, 24 472, 35 481, 52 015, 36 096,
,,,,,,,,,
"Fonte: INE, Recenseamentos da População e Habitação",,,,,,,,,
