"População residente com 18 ou mais anos que completou pelo menos o ensino secundário, por sexo e grupo etário, NUTS II, 2021",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,Número
NUTS II,Total ,,,Grupo etário,,,,,,,,
,,,,18-24 ,,,25-64,,,65 ou mais ,,
,HM,H,M,HM,H,M,HM,H,M,HM,H,M
Portugal ,3 970 230,1 799 593,2 170 637, 619 567, 300 092, 319 475,2 997 989,1 328 920,1 669 069, 352 674, 170 581, 182 093
Norte,1 268 049, 574 729, 693 320, 230 755, 111 744, 119 011, 942 801, 417 519, 525 282, 94 493, 45 466, 49 027
Centro, 795 116, 358 534, 436 582, 128 460, 62 754, 65 706, 600 394, 262 940, 337 454, 66 262, 32 840, 33 422
AM  Lisboa,1 329 534, 609 897, 719 637, 172 159, 83 204, 88 955,1 014 792, 458 660, 556 132, 142 583, 68 033, 74 550
Alentejo, 237 753, 107 402, 130 351, 36 575, 18 188, 18 387, 181 730, 79 523, 102 207, 19 448, 9 691, 9 757
Algarve, 179 588, 80 135, 99 453, 23 139, 11 081, 12 058, 136 983, 59 164, 77 819, 19 466, 9 890, 9 576
RA Açores, 73 147, 31 350, 41 797, 13 000, 5 807, 7 193, 55 083, 23 209, 31 874, 5 064, 2 334, 2 730
RA Madeira, 87 043, 37 546, 49 497, 15 479, 7 314, 8 165, 66 206, 27 905, 38 301, 5 358, 2 327, 3 031
,,,,,,,,,,,,
"Fonte: INE, Recenseamentos da População e Habitação",,,,,,,,,,,,
