"População residente de nacionalidade estrangeira, total por sexo e principais nacionalidades, NUTS II, 2021",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,Número
NUTS II,Total ,,,Principais nacionalidades*,,,,,,,
,HM,H,M,Brasil,Angola,Cabo Verde,Reino Unido,Ucrânia,França,China,Guiné Bissau 
Portugal , 542 314, 265 652, 276 662, 199 810, 31 556, 27 144, 24 609, 21 199, 19 064, 16 631, 15 298
Norte, 92 806, 43 535, 49 271, 48 479, 4 302, 1 867, 1 387, 2 623, 3 980, 3 592,  659
Centro, 83 811, 41 188, 42 623, 34 120, 3 890, 1 296, 5 262, 5 467, 3 440, 2 281, 1 214
AM  Lisboa, 254 339, 122 765, 131 574, 92 321, 21 571, 21 887, 3 906, 7 138, 6 695, 8 014, 12 296
Alentejo, 33 032, 18 826, 14 206, 8 885,  910,  564,  963, 1 840,  564, 1 290,  228
Algarve, 67 945, 34 294, 33 651, 14 694,  767, 1 376, 12 031, 3 914, 4 045, 1 081,  868
RA Açores, 3 348, 1 678, 1 670,  639,  56,  126,  157,  58,  130,  230,  10
RA Madeira, 7 033, 3 366, 3 667,  672,  60,  28,  903,  159,  210,  143,  23
,,,,,,,,,,,
"Fonte: INE, Recenseamentos da População e Habitação",,,,,,,,,,,
* Nacionalidades com mais de 15 mil residentes,,,,,,,,,,,
,,,,,,,,,,,
