"Edifícios por época de construção, NUTS II, 2021",,,,,,,,,
,,,,,,,,,
,,,,,,,,Número,
NUTS II,Total,Época de construção ,,,,,,,
,,Antes de 1919,1919 - 1960,1961 - 1990, 1991 - 2000,2001 - 2010,2011 - 2015,2016 -2021,
Portugal ,3 573 416, 174 200, 652 924,1 548 950, 557 048, 529 510, 49 449, 61 335,
Norte,1 227 994, 61 266, 187 238, 545 829, 204 148, 184 415, 20 401, 24 697,
Centro,1 116 787, 47 183, 216 446, 497 187, 167 159, 159 006, 13 345, 16 461,
AM  Lisboa, 452 582, 18 115, 77 831, 210 938, 67 696, 63 959, 5 267, 8 776,
Alentejo, 383 527, 28 523, 102 782, 143 934, 51 105, 49 105, 4 097, 3 981,
Algarve, 201 078, 9 553, 32 017, 79 809, 35 400, 37 792, 2 785, 3 722,
RA Açores, 100 478, 6 225, 20 853, 35 417, 15 014, 18 647, 2 151, 2 171,
RA Madeira, 90 970, 3 335, 15 757, 35 836, 16 526, 16 586, 1 403, 1 527,
,,,,,,,,,
"Fonte: INE, Recenseamentos da População e Habitação",,,,,,,,,
