"População residente por grupo etário e idade média por sexo,  NUTS II, 2021",,,,,,,,,,,,
,,,,,,,,,,,Número,
NUTS II,Grupo etário,,,, Grupo etário (%),,,,Idade média,,,
,0-14 ,15-24 ,25-64,65 ou mais ,0-14 ,15-24 ,25-64,65 ou mais ,HM,H,M,
Portugal ,1 331 188,1 088 087,5 500 152,2 423 639,12.9,10.5,53.2,23.4,45.4,43.8,46.9,
Norte, 440 165, 385 934,1 950 231, 810 256,4.3,3.7,18.9,7.8,45.4,43.9,46.7,
Centro, 263 399, 220 555,1 141 105, 602 180,2.5,2.1,11.0,5.8,47.5,45.9,49.0,
AM  Lisboa, 411 213, 310 578,1 527 795, 620 622,4.0,3.0,14.8,6.0,43.8,42.0,45.4,
Alentejo, 87 139, 68 763, 358 168, 190 463,0.8,0.7,3.5,1.8,47.4,45.7,49.0,
Algarve, 62 781, 45 829, 247 784, 110 949,0.6,0.4,2.4,1.1,45.4,44.3,46.5,
RA Açores, 34 553, 28 239, 134 512, 39 109,0.3,0.3,1.3,0.4,41.7,40.4,43.0,
RA Madeira, 31 938, 28 189, 140 557, 50 060,0.3,0.3,1.4,0.5,44.4,42.4,46.3,
,,,,,,,,,,,,
"Fonte: INE, Recenseamentos da População e Habitação",,,,,,,,,,,,
