"Agregados  institucionais, por dimensão, NUTS II, 2021",,,,,,
,,,,,,
,,,,Número,,
NUTS II,Dimensão,,,,,
,Total,Menos de 20 pessoas,20 - 49 pessoas,50 ou mais pessoas,,
Portugal , 5 475, 2 715, 1 967,  793,,
Norte, 1 494,  718,  550,  226,,
Centro, 1 678,  746,  674,  258,,
AM  Lisboa, 1 215,  712,  358,  145,,
Alentejo,  650,  300,  255,  95,,
Algarve,  171,  60,  75,  36,,
RA Açores,  161,  117,  30,  14,,
RA Madeira,  106,  62,  25,  19,,
,,,,,,
"Fonte: INE, Recenseamentos da População e Habitação",,,,,,
