"População residente com 15 a 64 anos e com mais de 65 anos e índice de sustentabilidade potencial, por sexo, NUTS II, 2021",,,,,,,,,
,,,,,,,,,
,,,,,,,,,Número
NUTS II,Grupo etário,,,,,,Índice de sustentabilidade potencial,,
, 15 - 64,,,65 ou mais ,,,,,
,HM,H,M,HM,H,M,HM,H,M
Portugal ,6 588 239,3 201 188,3 387 051,2 423 639,1 036 788,1 386 851,271.8,308.8,244.2
Norte,2 336 165,1 132 570,1 203 595, 810 256, 349 663, 460 593,288.3,323.9,261.3
Centro,1 361 660, 665 596, 696 064, 602 180, 260 066, 342 114,226.1,255.9,203.5
AM  Lisboa,1 838 373, 881 397, 956 976, 620 622, 258 126, 362 496,296.2,341.5,264.0
Alentejo, 426 931, 214 909, 212 022, 190 463, 81 964, 108 499,224.2,262.2,195.4
Algarve, 293 613, 143 674, 149 939, 110 949, 50 923, 60 026,264.6,282.1,249.8
RA Açores, 162 751, 81 107, 81 644, 39 109, 16 630, 22 479,416.1,487.7,363.2
RA Madeira, 168 746, 81 935, 86 811, 50 060, 19 416, 30 644,337.1,422.0,283.3
,,,,,,,,,
"Fonte: INE, Recenseamentos da População e Habitação",,,,,,,,,
