"População residente com 20 a 29 anos e com 55 a 64 anos e índice de rejuvenescimento, por sexo, NUTS II, 2021",,,,,,,,,,
,,,,,,,,,Número,
NUTS II,Grupo etário,,,,,,Índice de rejuvenescimento ,,,
, 20 - 29,,,55 - 64,,,,,,
,HM,H,M,HM,H,M,HM,H,M,
Portugal ,1 101 758, 558 900, 542 858,1 447 630, 676 815, 770 815,76.1,82.6,70.4,
Norte, 393 734, 199 433, 194 301, 531 116, 249 178, 281 938,74.1,80.0,68.9,
Centro, 217 311, 110 927, 106 384, 323 930, 153 174, 170 756,67.1,72.4,62.3,
AM  Lisboa, 323 457, 161 988, 161 469, 355 450, 161 055, 194 395,91.0,100.6,83.1,
Alentejo, 66 305, 35 252, 31 053, 100 919, 48 807, 52 112,65.7,72.2,59.6,
Algarve, 45 998, 23 503, 22 495, 64 893, 30 825, 34 068,70.9,76.2,66.0,
RA Açores, 28 519, 14 429, 14 090, 32 492, 15 937, 16 555,87.8,90.5,85.1,
RA Madeira, 26 434, 13 368, 13 066, 38 830, 17 839, 20 991,68.1,74.9,62.2,
,,,,,,,,,,
"Fonte: INE, Recenseamentos da População e Habitação",,,,,,,,,,
