"População residente com 10 ou mais anos que não sabe ler nem escrever e taxa de analfabetismo, por sexo, NUTS II, 2021",,,,,,,,,
,,,,,,,,,
,,,,,,Número,,,
NUTS II,Indivíduos que não sabem ler nem escrever,,,Taxa de analfabetismo ,,,,,
,Total ,H,M,HM,H,M,,,
Portugal , 292 809, 94 416, 198 393,3.1,2.1,4.0,,,
Norte, 99 939, 31 531, 68 408,3.0,2.0,3.9,,,
Centro, 75 162, 22 552, 52 610,3.7,2.3,4.8,,,
AM  Lisboa, 52 086, 15 206, 36 880,2.0,1.3,2.7,,,
Alentejo, 35 117, 12 140, 22 977,5.4,3.9,6.8,,,
Algarve, 13 409, 5 473, 7 936,3.1,2.7,3.6,,,
RA Açores, 6 663, 3 551, 3 112,3.1,3.4,2.8,,,
RA Madeira, 10 433, 3 963, 6 470,4.5,3.7,5.2,,,
,,,,,,,,,
"Fonte: INE, Recenseamentos da População e Habitação",,,,,,,,,
