"População residente que trabalha ou estuda, por local de trabalho ou estudo, NUTSII, 2021",,,,,,,
,,,,,,,
,,,,,,,Número
NUTS II,Total,Local de trabalho/estudo,,,,,
,,Em casa,Na freguesia de residência,Noutra freguesia do município de residência,Noutro município,No estrangeiro,Sem local fixo
Portugal ,6 185 478, 232 035,1 914 328,1 736 899,1 955 481, 88 676, 258 059
Norte,2141732, 72 114, 577 418, 688 138, 674 383, 38 769, 90 910
Centro,1295938, 41 327, 463 146, 358 504, 360 264, 16 198, 56 499
AM  Lisboa,1783647, 90 353, 464 501, 445 770, 687 014, 24 372, 71 637
Alentejo,404699, 11 809, 189 438, 82 517, 101 696, 3 888, 15 351
Algarve,265659, 9 141, 129 350, 49 565, 62 243, 2 924, 12 436
RA Açores,148393, 3 521, 45 478, 65 433, 27 737,  685, 5 539
RA Madeira,145410, 3 770, 44 997, 46 972, 42 144, 1 840, 5 687
,,,,,,,
"Fonte: INE, Recenseamentos da População e Habitação",,,,,,,
