"Núcleos familiares reconstituídos, por número de filhos comuns e não comuns, NUTS II, 2021",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,Número
NUTS II,,Com 1 filho não comum,,,Com 2 filhos não comuns,,,Com 3 filhos ou mais não comuns,,
,Total, Sem filhos comuns ,Com 1 filho comum, Com 2 ou mais filhos comuns, Sem filhos comuns ,Com 1 filho comum, Com 2 ou mais filhos comuns, Sem filhos comuns ,Com 1 filho comum, Com 2 ou mais filhos comuns
Portugal , 124 717, 48 565, 35 417, 10 354, 16 103, 7 092, 1 493, 4 155, 1 320,  218
Norte,32872, 13 030, 9 659, 2 432, 4 245, 1 800,  302, 1 081,  291,  32
Centro,24232, 9 551, 7 165, 1 804, 3 047, 1 406,  236,  765,  226,  32
AM  Lisboa,44461, 17 113, 11 960, 4 205, 5 837, 2 504,  683, 1 540,  510,  109
Alentejo,9714, 3 685, 2 782,  819, 1 275,  579,  107,  341,  108,  18
Algarve,7172, 2 910, 2 035,  564,  915,  395,  85,  184,  73,  11
RA Açores,3666, 1 301, 1 021,  298,  490,  249,  51,  170,  77,  9
RA Madeira,2600,  975,  795,  232,  294,  159,  29,  74,  35,  7
,,,,,,,,,,
"Fonte: INE, Recenseamentos da População e Habitação",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
