"Alojamentos familiares clássicos de residência habitual arrendados ou subarrendados, por escalões de renda, NUTS II, 2021",,,,,,,,,
,,,,,,,,,
,,,,,,,,,Número
NUTS II,Total,Escalões mensais de renda ,,,,,,,
,,Menos de 20 euros,20-49 euros,50-99 euros,100-199 euros,200-399 euros,400-649 euros,650-999 euros,1000 ou mais euros
Portugal , 922 810, 36 964, 47 320, 63 567, 129 888, 372 886, 194 047, 57 698, 20 440
Norte, 306 252, 13 075, 17 783, 26 005, 55 051, 130 738, 50 687, 10 182, 2 731
Centro, 143 234, 3 626, 4 530, 5 976, 21 097, 80 175, 24 584, 2 639,  607
AM  Lisboa, 347 994, 15 263, 16 557, 22 653, 38 192, 107 510, 91 539, 40 321, 15 959
Alentejo, 49 409, 2 406, 2 671, 3 505, 8 843, 24 836, 6 337,  584,  227
Algarve, 44 545, 1 433, 1 504, 2 125, 3 540, 18 474, 13 877, 2 878,  714
RA Açores, 14 653,  848, 1 495, 1 062, 1 584, 6 502, 2 814,  301,  47
RA Madeira, 16 723,  313, 2 780, 2 241, 1 581, 4 651, 4 209,  793,  155
,,,,,,,,,
"Fonte: INE, Recenseamentos da População e Habitação",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
