"População desempregada com 15 ou mais anos por grupo etário, NUTS II , 2021",,,,,,,
,,,,,,,
,,,,,,,Número
NUTS II,Total, Grupo etário  (anos),,,,,
,,15-24,25 - 34,35 - 44,45 - 54,55-64,65 ou mais 
Portugal , 391 517, 60 683, 89 537, 84 663, 84 715, 67 873, 4 046
Norte, 142 245, 21 777, 30 165, 29 020, 31 941, 27 852, 1 490
Centro, 59 985, 9 199, 13 277, 13 140, 12 785, 10 803,  781
AM  Lisboa, 120 894, 18 508, 29 526, 27 301, 25 532, 18 876, 1 151
Alentejo, 21 646, 3 543, 4 753, 4 705, 4 571, 3 810,  264
Algarve, 25 167, 3 770, 6 109, 5 664, 5 485, 3 871,  268
RA Açores, 7 770, 1 686, 2 228, 1 727, 1 387,  721,  21
RA Madeira, 13 810, 2 200, 3 479, 3 106, 3 014, 1 940,  71
,,,,,,,
"Fonte: INE, Recenseamentos da População e Habitação",,,,,,,
