"População residente dos 0-14 anos e com 65 ou mais anos e índice de envelhecimento, por sexo, NUTS II, 2021",,,,,,,,,,
,,,,,,,,,Número,
NUTS II,Grupo etário,,,,,,Índice de envelhecimento ,,,
,0- 14 ,,,65 ou mais,,,,,,
,HM,H,M,HM,H,M,HM,H,M,
Portugal ,1 331 188, 682 244, 648 944,2 423 639,1 036 788,1 386 851,182.1,152.0,213.7,
Norte, 440 165, 225 587, 214 578, 810 256, 349 663, 460 593,184.1,155.0,214.7,
Centro, 263 399, 134 949, 128 450, 602 180, 260 066, 342 114,228.6,192.7,266.3,
AM  Lisboa, 411 213, 210 923, 200 290, 620 622, 258 126, 362 496,150.9,122.4,181.0,
Alentejo, 87 139, 44 530, 42 609, 190 463, 81 964, 108 499,218.6,184.1,254.6,
Algarve, 62 781, 32 178, 30 603, 110 949, 50 923, 60 026,176.7,158.3,196.1,
RA Açores, 34 553, 17 743, 16 810, 39 109, 16 630, 22 479,113.2,93.7,133.7,
RA Madeira, 31 938, 16 334, 15 604, 50 060, 19 416, 30 644,156.7,118.9,196.4,
,,,,,,,,,,
"Fonte: INE, Recenseamentos da População e Habitação",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
