"Alojamentos familiares clássicos  de residência habitual propriedade do ocupante, por existência de encargos financeiros, NUTS II, 2021",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,Número
NUTS II,TOTAL,Sem encargos ,Com encargos  - Escalões do encargo mensal ,,,,,,,
,,,Total,Menos de 100 euros,100-199 euros,200-299 euros,300-399 euros,400-649 euros,650-999 euros,1000 ou mais euros
Portugal ,2 900 093,1 787 218,1 112 875, 35 802, 163 154, 320 642, 267 243, 230 536, 63 411, 32 087
Norte, 962 352, 600 721, 361 631, 10 778, 56 514, 116 785, 87 367, 65 692, 16 201, 8 294
Centro, 701 937, 483 503, 218 434, 6 845, 36 885, 67 316, 52 455, 41 201, 9 158, 4 574
AM  Lisboa, 758 598, 396 316, 362 282, 12 069, 42 362, 88 560, 86 519, 89 016, 29 077, 14 679
Alentejo, 213 978, 139 214, 74 764, 2 862, 14 098, 23 310, 17 172, 12 785, 3 001, 1 536
Algarve, 129 301, 82 596, 46 705, 1 501, 5 752, 12 510, 11 981, 10 627, 2 826, 1 508
RA Açores, 63 401, 38 143, 25 258, 1 045, 4 893, 6 757, 5 570, 4 976, 1 366,  651
RA Madeira, 70 526, 46 725, 23 801,  702, 2 650, 5 404, 6 179, 6 239, 1 782,  845
,,,,,,,,,,
"Fonte: INE, Recenseamentos da População e Habitação",,,,,,,,,,
