"População residente que trabalha ou estuda (que vive no alojamento a maior parte do ano), por principal meio de transporte utilizado, NUTS II, 2021",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,Número
NUTS II,TOTAL, Meio de transporte,,,,,,,,,,
,,A pé,Automóvel ligeiro - como condutor,Automóvel ligeiro - como passageiro,Autocarro / camioneta,Transporte colectivo  empresa / escola,Metropolitano,Comboio,Motociclo,Bicicleta,Barco,Outro
Portugal ,5 448 784, 854 390,2 609 277, 985 493, 493 668, 123 091, 90 999, 160 543, 63 486, 31 347, 16 730, 19 760
Norte,1 890 446, 276 744, 949 438, 355 961, 165 176, 51 599, 34 083, 26 716, 18 350, 6 109,  119, 6 151
Centro,1 132 371, 152 619, 624 329, 215 623, 75 399, 23 765,  734, 11 670, 13 387, 11 086,  165, 3 594
AM  Lisboa,1 572 625, 259 058, 624 764, 252 763, 189 792, 21 875, 55 470, 116 220, 21 139, 8 396, 15 998, 7 150
Alentejo, 357 171, 75 011, 173 840, 63 209, 21 558, 12 454,  313, 4 522, 2 607, 2 564,  26, 1 067
Algarve, 233 257, 52 174, 112 630, 43 048, 10 720, 5 320,  163, 1 397, 3 870, 2 827,  291,  817
RA Açores, 134 006, 21 586, 66 880, 28 207, 10 125, 5 054,  89,  1, 1 131,  262,  99,  572
RA Madeira, 128 908, 17 198, 57 396, 26 682, 20 898, 3 024,  147,  17, 3 002,  103,  32,  409
,,,,,,,,,,,,
"Fonte: INE, Recenseamentos da População e Habitação",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
