1.09 - Núcleos familiares com filhos, segundo o número de crianças, totais de filhos e de crianças nos núcleos, por tipo de núcleo (com base na condição perante o trabalho), NUTS II, 2011 e 2021;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;2011;;;;;;;2021;;;;;;;
;;;;;;;;;;;;;;;
;Núcleos segundo o número de crianças;;;;;Filhos nos núcleos;Crianças nos núcleos;Núcleos segundo o número de crianças;;;;;Filhos nos núcleos;Crianças nos núcleos;
;Total;Sem crianças;Com 1 criança;Com 2 crianças;Com 3 ou mais crianças;;;Total;Sem crianças;Com 1 criança;Com 2 crianças;Com 3 ou mais crianças;;;
;N.º;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Portugal;2 094 732;989 666;730 193;323 746;51 127;3 160 234;1 540 421;1 995 788;1 058 396;612 019;280 918;44 455;2 956 653;1 314 251;
;;;;;;;;;;;;;;;
Casal com filhos;1 614 289;692 015;591 613;286 324;44 337;2 503 570;1 305 394;1 415 817;677 249;460 835;240 093;37 640;2 179 123;1 059 888;
Casal de direito com filhos;1 408 694;653 644;478 984;243 392;32 674;2 183 772;1 068 808;1 112 160;611 803;304 802;171 215;24 340;1 713 330;723 594;
        Ambos empregados;776 281;253 964;331 257;172 631;18 429;1 227 093;733 728;661 621;287 916;226 845;131 124;15 736;1 065 609;537 932;
        Um empregado e outro desempregado ou inactivo;415 882;216 382;126 787;61 505;11 208;661 151;285 538;275 739;170 582;64 871;33 609;6 677;423 280;153 315;
        Ambos desempregados ou inactivos;216 531;183 298;20 940;9 256;3 037;295 528;49 542;174 800;153 305;13 086;6 482;1 927;224 441;32 347;
Casal de facto com filhos;205 595;38 371;112 629;42 932;11 663;319 798;236 586;303 657;65 446;156 033;68 878;13 300;465 793;336 294;
        Ambos empregados;109 992;16 695;67 028;22 527;3 742;160 899;123 906;193 747;34 314;108 404;45 284;5 745;287 425;216 835;
        Um empregado e outro desempregado ou inactivo;67 476;13 724;34 838;14 539;4 375;108 427;78 176;79 674;20 402;37 440;17 588;4 244;125 544;86 163;
