1.05 - Agregados domésticos privados unipessoais, segundo o nível de escolaridade, NUTS II, 2011 e 2021;;;;;;
;;;;;;
;Agregados domésticos privados unipessoais;;;;;
;;;;;;
;2011;;;2021;;
;Total;Homens;Mulheres;Total;Homens;Mulheres
;N.º;;;;;
;;;;;;
Portugal;866 827;321 856;544 971;1 027 871;396 517;631 354
;;;;;;
Sem nível de escolaridade;109 682;22 078;87 604;107 860;26 081;81 779
Básico - 1º ciclo;334 417;102 372;232 045;329 451;103 066;226 385
Básico - 2º ciclo;49 490;25 809;23 681;74 747;39 223;35 524
Básico - 3º ciclo;85 045;42 306;42 739;127 158;61 081;66 077
Secundário;106 998;55 330;51 668;162 923;79 813;83 110
Pós-secundário;5 186;3 094;2 092;7 669;4 815;2 854
Ensino superior ;176 009;70 867;105 142;218 063;82 438;135 625
;;;;;;
Norte;228 923;81 014;147 909;290 181;108 712;181 469
;;;;;;
Sem nível de escolaridade;31 730;5 830;25 900;33 605;7 603;26 002
Básico - 1º ciclo;98 933;30 045;68 888;106 772;33 670;73 102
Básico - 2º ciclo;13 693;7 212;6 481;23 079;12 194;10 885
Básico - 3º ciclo;19 498;9 613;9 885;31 261;14 835;16 426
Secundário;22 787;11 426;11 361;39 131;18 964;20 167
Pós-secundário;1 141;639;502;1 744;1 094;650
Ensino superior ;41 141;16 249;24 892;54 589;20 352;34 237
;;;;;;
Centro;195 368;69 556;125 812;229 461;88 226;141 235
;;;;;;
Sem nível de escolaridade;32 357;5 829;26 528;30 191;6 792;23 399
Básico - 1º ciclo;88 081;27 243;60 838;86 329;27 929;58 400
Básico - 2º ciclo;10 230;5 675;4 555;17 149;9 437;7 712
Básico - 3º ciclo;15 909;8 584;7 325;26 633;13 764;12 869
Secundário;18 739;10 336;8 403;30 949;15 781;15 168
Pós-secundário;956;559;397;1 533;979;554
Ensino superior ;29 096;11 330;17 766;36 677;13 544;23 133
;;;;;;
A.M. Lisboa;293 220;110 954;182 266;336 274;127 767;208 507
;;;;;;
Sem nível de escolaridade;20 773;4 023;16 750;20 912;4 765;16 147
Básico - 1º ciclo;87 772;24 116;63 656;79 564;21 395;58 169
Básico - 2º ciclo;16 617;7 704;8 913;20 432;9 540;10 892
Básico - 3º ciclo;35 399;16 076;19 323;47 091;20 672;26 419
Secundário;47 267;23 401;23 866;65 636;31 143;34 493
Pós-secundário;2 201;1 337;864;3 129;1 987;1 142
Ensino superior ;83 191;34 297;48 894;99 510;38 265;61 245
;;;;;;
Alentejo;71 676;27 436;44 240;79 290;32 345;46 945
;;;;;;
Sem nível de escolaridade;16 082;3 813;12 269;12 505;3 173;9 332
Básico - 1º ciclo;30 313;10 437;19 876;28 629;10 122;18 507
Básico - 2º ciclo;4 067;2 396;1 671;6 708;3 914;2 794
Básico - 3º ciclo;6 084;3 464;2 620;9 887;5 311;4 576
Secundário;6 744;3 823;2 921;11 022;5 718;5 304
Pós-secundário;270;176;94;454;286;168
Ensino superior ;8 116;3 327;4 789;10 085;3 821;6 264
;;;;;;
Algarve;45 493;20 441;25 052;52 913;23 508;29 405
;;;;;;
Sem nível de escolaridade;5 004;1 624;3 380;6 071;2 319;3 752
Básico - 1º ciclo;15 961;6 135;9 826;14 453;5 429;9 024
Básico - 2º ciclo;2 799;1 617;1 182;3 851;2 177;1 674
Básico - 3º ciclo;5 337;3 038;2 299;7 905;4 198;3 707
Secundário;7 889;4 464;3 425;10 446;5 342;5 104
Pós-secundário;373;232;141;445;259;186
Ensino superior ;8 130;3 331;4 799;9 742;3 784;5 958
;;;;;;
R.A. Açores;14 006;5 888;8 118;17 348;7 348;10 000
;;;;;;
Sem nível de escolaridade;965;321;644;1 374;535;839
Básico - 1º ciclo;6 127;2 152;3 975;5 946;2 030;3 916
Básico - 2º ciclo;954;609;345;1 616;935;681
Básico - 3º ciclo;1 295;723;572;2 091;1 116;975
Secundário;1 588;881;707;2 537;1 317;1 220
Pós-secundário;90;61;29;191;109;82
Ensino superior ;2 987;1 141;1 846;3 593;1 306;2 287
;;;;;;
R.A. Madeira;18 141;6 567;11 574;22 404;8 611;13 793
;;;;;;
Sem nível de escolaridade;2 771;638;2 133;3 202;894;2 308
Básico - 1º ciclo;7 230;2 244;4 986;7 758;2 491;5 267
Básico - 2º ciclo;1 130;596;534;1 912;1 026;886
Básico - 3º ciclo;1 523;808;715;2 290;1 185;1 105
Secundário;1 984;999;985;3 202;1 548;1 654
Pós-secundário;155;90;65;173;101;72
Ensino superior ;3 348;1 192;2 156;3 867;1 366;2 501
;;;;;;
;;;;;;
Fonte: INE, Recenseamentos da População e da Habitação, 2011 e 2021;;;;;;
