1.11 - Núcleos familiares reconstituídos e total de filhos nos núcleos, por tipo de núcleo (com base na condição perante o trabalho), NUTS II, 2011 e 2021;;;;;;
;;;;;;
;2011;;2021;;;
;;;;;;
;Núcleos;Filhos nos núcleos;Núcleos;Filhos nos núcleos;;
;;;;;;
;N.º;;;;;
;;;;;;
Portugal;105 763;196 016;124 717;232 481;;
;;;;;;
Casal de direito;43 162;81 898;46 962;91 152;;
Com 1 filho;15 977;15 977;37 388;65 238;;
Ambos empregados;7 206;7 206;20 462;36 731;;
        Um empregado e outro desempregado ou inactivo;5 176;5 176;11 637;20 480;;
        Ambos desempregados ou inactivos;3 595;3 595;5 289;8 027;;
Com 2 filhos;18 386;36 772;7 896;19 874;;
Ambos empregados;10 683;21 366;4 681;11 740;;
        Um empregado e outro desempregado ou inactivo;5 883;11 766;2 394;6 108;;
        Ambos desempregados ou inactivos;1 820;3 640;821;2 026;;
Com 3 ou mais filhos;8 799;29 149;1 678;6 040;;
Ambos empregados;4 441;14 365;973;3 462;;
        Um empregado e outro desempregado ou inactivo;3 354;11 314;526;1 900;;
        Ambos desempregados ou inactivos;1 004;3 470;179;678;;
Casal de facto;62 601;114 118;77 755;141 329;;
Com 1 filho;26 972;26 972;56 948;87 295;;
Ambos empregados;15 137;15 137;34 556;52 081;;
        Um empregado e outro desempregado ou inactivo;8 420;8 420;16 383;25 835;;
        Ambos desempregados ou inactivos;3 415;3 415;6 009;9 379;;
Com 2 filhos;23 973;47 946;16 792;39 845;;
Ambos empregados;13 428;26 856;10 469;24 294;;
        Um empregado e outro desempregado ou inactivo;8 066;16 132;4 810;11 796;;
        Ambos desempregados ou inactivos;2 479;4 958;1 513;3 755;;
Com 3 ou mais filhos;11 656;39 200;4 015;14 189;;
Ambos empregados;5 200;17 049;2 323;8 050;;
        Um empregado e outro desempregado ou inactivo;4 589;15 612;1 251;4 512;;
        Ambos desempregados ou inactivos;1 867;6 539;441;1 627;;
;;;;;;
Norte;25 395;46 076;32 872;60 057;;
;;;;;;
Casal de direito;11 275;20 793;13 025;24 713;;
Com 1 filho;4 321;4 321;10 546;18 161;;
