1.07 - Núcleos familiares, segundo o número de filhos e total de filhos nos núcleos, por tipo de núcleo (com base na idade dos filhos), NUTS II, 2011 e 2021;;;;;;;;;;;;
;;;;;;;;;;;;
;2011;;;;;;2021;;;;;
;;;;;;;;;;;;
;Núcleos segundo o número de filhos;;;;;Filhos nos núcleos;Núcleos segundo o número de filhos;;;;;Filhos nos núcleos
;Total;Com 1 filho/enteado;Com 2 filhos/enteados;Com 3 filhos/enteados;Com 4 ou mais  filhos/enteados;;Total;Com 1 filho/enteado;Com 2 filhos/enteados;Com 3 filhos/enteados;Com 4 ou mais  filhos/enteados;
;N.º;;;;;;;;;;;
;;;;;;;;;;;;
Portugal;3 226 371;1 222 547;717 936;124 961;29 288;3 160 234;3 127 714;1 193 283;670 985;110 268;21 252;2 956 653
;;;;;;;;;;;;
Casal sem filhos;1 131 639;0;0;0;0;0;1 131 926;0;0;0;0;0
Casal com filhos;1 614 289;882 747;605 174;102 808;23 560;2 503 570;1 415 817;776 416;536 287;86 734;16 380;2 179 123
Casal de direito com filhos;1 408 694;760 076;545 022;86 255;17 341;2 183 772;1 112 160;599 980;436 492;65 168;10 520;1 713 330
Todos com menos de 15 anos de idade;562 260;313 941;219 723;25 321;3 275;843 138;356 955;180 865;154 375;19 433;2 282;557 500
Pelo menos um com menos de 15 anos e pelo menos um com 15 ou mais anos de idade;192 790;0;141 075;40 765;10 950;452 370;143 402;0;107 343;29 547;6 512;331 392
Todos com 15 ou mais anos de idade;653 644;446 135;184 224;20 169;3 116;888 264;611 803;419 115;174 774;16 188;1 726;824 438
Casal de facto com filhos;205 595;122 671;60 152;16 553;6 219;319 798;303 657;176 436;99 795;21 566;5 860;465 793
Todos com menos de 15 anos de idade;141 564;94 793;37 147;7 651;1 973;200 356;201 870;128 855;61 710;9 571;1 734;288 275
Pelo menos um com menos de 15 anos e pelo menos um com 15 ou mais anos de idade;25 660;0;14 194;7 525;3 941;68 527;36 341;0;22 615;9 929;3 797;91 431
Todos com 15 ou mais anos de idade;38 371;27 878;8 811;1 377;305;50 915;65 446;47 581;15 470;2 066;329;86 087
